title,composedby,key,timesig,bars,chordprog
Loud-Zee,Jerry Bergonzi,C,4 4,28,"Gm7 | Am7 | BbM7#11 | A7b9 |
AbM7 | G7b9 | GbM7 | Am7b5 D7b9 |
Gm7 | Am7 | BbM7#11 | A7b9 |
AbM7 | G7b9 | GbM7 | Am7b5 D7b9 |
Gm7 | GbM7 | Fm7 | Dm7b5 |
EbM7 | Dm7 C7#11 | Cm Cm7 | Am7b5 D7b9 |
GM7 | GM7 | GM7 | GM7 |"
Here's That Rainy Day,Jimmy Van Heusen,C,4 4,32,"GM7 Gb+ | F13 E7#11 | EbM7 | AbM7 Ab6 |
Am11 | Co7/D | GM7 | Dm7 G13b9 |
Cm Cm/B | Cm/Bb Cm/Bb F7#9 F7 | BbM7 BbM7 BbM7 E9 | EbM7 |
Am7 | D7 D7 D7#9 D7 | GM7 Bb13 | EbM7 AbM7 |
GM7 Gb+ | F13 E7#11 | EbM7 | AbM7 Ab6 |
Am11 | Co7/D | GM7 | Dm7 G13b9 |
CM7 CM7/B | Am9 D7b9 | Bm7 | Bbo7 |
Am11 | D7b9 | GM7 | GM7 |"
Here Comes Santa Claus,Gene Autry and Oakley Haldeman,F,4 4,16,"F | F | C7 C7 C7 Co7 | C7 |
C7 | C7 | F F F Fo7 | F F7 |
Bb6 E7 | F D7 | Gm Gm7 C7 C7 | F F7 |
Bb6 E7 | F D7 | Gm Gm7 C7 C7 | F |"
Laughter In The Rain,Neil Sedaka and Phil Cody,F,4 4,20,"F | Gm7 | C | F |
F | Gm7 | C | F |
Dm | G7sus4 G7 | G7sus4 C7 | Bbm7 Eb9 |
AbM7 Fm7 | Bbm7 Eb9 | AbM7 Fm7 | Bbm7 Eb9 |
AbM7 Fm7 | DbM7 | C7sus4 | C7 |"
It Don't Mean A Thing,Duke Ellington,Bb,4 4,32,"Gm GmM7 | Gm7 Gm6 | Eb7 D7 | Gm |
C7 | C7b5 | F7sus | Gm D7+ |
Gm GmM7 | Gm7 Gm6 | Eb7 D7 | Gm |
C7 | F7sus | Bb | Bb |
Fm7 | Bb7 | Eb | Eb |
Gm7 | C7 | F7 | D7+ |
Gm GmM7 | Gm7 Gm6 | Eb7 D7 | Gm |
C7 | C7b5 | F7sus | Bb |"
Nobody Else But Me,Jerome Kern,Eb,4 4,36,"Eb6 | Eb6 | Fm7 | Bb7 |
Fm7 Bb7 | Em7 A7 | DM7 | Am7 D7 |
GM7 | G#o7 | D6/A | Dbm7 Gb7 |
Cm7 | F7 | Fm7 | Bb7 |
Eb6 | Eb6 | Fm7 | Bb7 |
Fm7 Bb7 | Fm7 Eo7 | Bbm7 | Eb7 |
Ab6 | Abm7 | Eb6 | C7 |
Fm7 | F#o7 | Gm7 | C7 |
Fm7 | Bb7sus4 Bb7 | Eb6 | Fm7 Bb7 |"
Haunted Ballroom,Victor Feldman,F,4 4,40,"FM7 D7#5b9 | Gm7 C9 | Am7 D7b9 | Gm7 C9 |
Bbm7 Eb13#11 | Abm7 Db13b9#11 | F#m7 F#m7 B13 C13sus4 | C13sus4 Db9#11 C13b9#11 |
FM7 D7#5b9 | Gm7 C9 | Am7 D7b9 | Gm7 C9 |
Bbm7 Eb13#11 | Abm7 Db13b9#11 | F#m7 F#m7 B13 C13sus4 | C13sus4 Db9#11 C13b9#11 |
Bbm7 Cm7 | DbM7 Eb7b9 | AbM7 Dbm7 | Cm7 F7b9 |
Bbm7 Cm7 | DbM7 Eb7b9 | Ab Eb/G | Fm7 Fm7/Eb |
Dm7 Em7 | FM7 G7b9 | Em7 | A7b9 |
Dm7 | G13 | C9sus4 | C13b9 |
FM7 D7#5b9 | Gm7 C9 | Am7 D7b9 | Gm7 C9 |
Bbm7 Eb13#11 | Abm7 Db13b9#11 | F#m7 F#m7 B13 C13sus4 | C13sus4 Eb13#11 D7#5b9 Db7#5b9 C13b9#11 C13b9#11 |"
Island Birdie,McCoy Tyner,Eb,4 4,34,"Eb | Fm7 Bb7 | Gm7 C7 | Fm7 Bb7 |
Dm7b5 G7 | Cm7 F7 | Fm7 Bb7 | Eb |
Eb | Fm7 Bb7 | Gm7 C7 | Fm7 Bb7 |
Dm7b5 G7 | Cm7 F7 | Fm7 Bb7 | Eb |
Ab7 | Ab7 | Gbm7 Cb7 | Gbm7 Cb7 |
Ab7 | Ab7 | Fm7 Bb7 | Gbm7 Cb7 |
Ab7 | Ab7 | Gbm7 Cb7 | Gbm7 Cb7 |
Ab7 | Ab7 | Fm7 Bb7 | Gbm7 Cb7 |
Ab7 Ab7 Ab7 Bb7 | Bb7 |"
A Lovely Way to Spend an Evening,Jimmy McHugh,Bb,4 4,32,"BbM7 | Gm7 C7 | Am7 | Dm7 |
Gm7 | C7 | FM7 | Cm7 F7 |
BbM7 | Gm7 C7 | Am7 | Dm7 |
Gm7 | C7 | F6 | Cm7 F7 |
BbM7 Eb9 | Am7 Dm7 | Gm7 C7 | FM7 |
Em7b5 A7b9 | DM7 | G7 | C7 C7 Cm7 F7 |
BbM7 | Gm7 C7 | Am7 | Dm7 |
Gm7 | C7 | F6 | Cm7 F7 |"
Love Vibrations,Horace Silver,Eb,4 4,24,"Dm7b5 | Db7b5 | Cm7 | F7 |
Fm7 | Bb7b9 | EbM7 A7b9 | Ab7 D7b9 |
Gm | Gm#5 | Gm6 | Gm7 C7 |
Fm7 | Gm7 C7 | Fm7 | Bb7 |
Dm7b5 | Db7b5 | Cm7 | F7 F#o7 |
Gm7 C7b9 | Fm7 Bb7 | Db6 D6 | Eb6 |"
One by One,Wayne Shorter,Bb,4 4,32,"Am7b5 D7#9 D7#9 D7#9 | Gm7 Gm7 Fm7 Bb7 | Eb Cm7 F7 F7 | BbM7 |
A7#9 Ab7 | Gm7 Bb7/F | Em7b5 D7#9 | Gm7 |
Am7b5 D7#9 D7#9 D7#9 | Gm7 Gm7 Fm7 Bb7 | Eb Cm7 F7 F7 | BbM7 |
A7#9 Ab7 | Gm7 Bb7/F | Em7b5 D7#9 | Gm7 |
E7#9 A7#9 | Dm7 Bm7b5 | Em7b5 A7b9 | Dm7 Dm7 Bb7 A7#9 |
A7#9 Ab7 | Gm7 Bb7/F | Em7b5 D7#9 | Gm7 |
Am7b5 D7#9 D7#9 D7#9 | Gm7 Gm7 Fm7 Bb7 | Eb Cm7 F7 F7 | BbM7 |
A7#9 Ab7 | Gm7 Bb7/F | Em7b5 D7#9 | Gm7 |"
In A Capricornian Way,Woody Shaw,G,3 4,56,"Em7 | Am69 | Em7 | F#m7 |
Em7 | F7#11 | Em7 | B7 |
G7sus | F7sus | G7sus | F7sus |
G7sus | F7sus | Abm7 | Db7 |
Em7 | Am69 | Em7 | F#m7 |
Em7 | F7#11 | Em7 | B7 |
G7sus | F7sus | G7sus | F7sus |
G7sus | F7sus | Abm7 | Db7 |
Am7 | Bbm7 | Am7 | F7sus |
C#7sus | F7sus | F#7sus/A | E7#5#9 D7#5#9 |
Em7 | Am69 | Em7 | F#m7 |
Em7 | F7#11 | Em7 | B7b9 |
G7sus | F7sus | G7sus | F7sus |
G7sus | F7sus | Abm7 D7+ | D7+ |"
Las Vegas Tango,Gil Evans,G,4 4,24,"Em7 | Em7 | Em7 | Em7 |
Am7 | Am7 | Em7 | Em7 |
Am7 | Am7 | Em7 | Em7 |
Em7 | Em7 | Em7 | Em7 |
Am7 | Am7 | Em7 | Em7 |
Am7 | Am7 | Em7 | Em7 |"
Nightmare,Artie Shaw,G,4 4,12,"G | G | G | G |
C7 | C7 | G | G |
C7 | G | G | D7 |"
Happy Hunting Horn,Richard Rodgers,Eb,4 4,34,"Eb6 Cm7 | F7 F7 Bb7 Eb6 | Bb7 Eb6 | Bb7 Eb6 |
Bb7 EbM7 | Bb7 EbM7 | Cm7 F7 | Fm7 Bb7b9 |
Eb6 Cm7 | F7 F7 Bb7 Eb6 | Bb7 Eb6 | Bb7 Eb6 |
Bb7 EbM7 | Bb7 EbM7 | F7 Bb7 | Eb6 Eb6 Bbm7 Eb7 |
Ab6 Fm7 | Bb7 | EbM7 Bb7sus4 | EbM7 Eb7 |
Ab6 Fm7 | Bb7 | EbM7 Cm7 | Fm7 Bb7#5 |
Eb6 Cm7 | F7 F7 Bb7 Eb6 | Bb7 Eb6 | Bb7 Eb6 |
Bb7 EbM7 | Bb7 EbM7 | F7 | Bb7 |
Eb6 | Bbm7 Eb7 |"
The Monster and the Flower,Claudio Roditi,Eb,4 4,72,"Eb69 | Eb69 | Bb7sus | Bb7 |
Eb69 | Eb69 | Bbm7 | Eb7 |
G7+ | G7b9 | C7 | C7+ |
Cm7 | F7 | Fm7 | Bb7 |
Eb69 | Eb69 | Bb7sus | Bb7 |
Eb69 | Eb69 | Bbm7 | Eb7 |
G7+ | G7b9 | C7 | C7+ |
Abm7/Db | Abm7/Db | GbM7/Db | GbM7/Db |
Abm7/Db | Abm7/Db | GbM7/Db | GbM7/Db |
Bbm7b5 | Eb7b9 | Abm7 | Abm7/Gb |
Fm7 | Bb7 | Gm7 | C7 |
Fm7 | Bb7 | Abm7/Db | Abm7/Db |
GbM7/Db | GbM7/Db | Abm7/Db | Abm7/Db |
GbM7/Db | GbM7/Db | Bbm7b5 | Eb7b9 |
Abm7 | Abm7/Gb | Fm7 | Bb7 |
Gm7 | C7 | Fm7 | Bb7 |
Abm7b5 | Abm69 | Gm7 | Gbo7 |
Fm7 | Bb7 | Bb7 | Eb69 |"
I'm A Fool To Want You,"Jack Wolf, Joel Herron, and Frank Sinatra",Ab,4 4,42,"Fm | Fm Fm+ | Bbm | Bbm Bbm/Ab |
Gm7b5 C7 | Fm7 Bb7 | Abm Db7 | G7 C7+ |
Fm | Fm Fm+ | Bbm | Bbm Bbm/Ab |
Gm7b5 C7 | Fm7 Bb7 | Abm Db7 | G7 C7+ |
Bbm7 | Eb7 | AbM7 | Cm7 F7 |
Bbm7 | Eb7 | AbM7 | AbM7 |
Gm7b5 | C7 | Fm | Fm7 Bb7 |
Abm7 | Abm/Db G7+ | Gm7b5 | C7+ |
Fm | Fm Fm+ | Bbm | Bbm Bbm/Ab |
Gm7b5 C7 | Fm7 Bo7 | Bbm Bbm/Ab | Gm7b5 C7+ |
Fm | Gm7b5 C7alt |"
Matrix,Chick Corea,F,4 4,12,"F7 | F7 | F7 | F7 F7 F7 F7 F7 F7 F7 Bb7 |
Bb7 | Bb7 | F7 | F7 |
C7 | C7 | F7 | F7 |"
In Passing,Oliver Nelson,C,4 4,12,"Bb7 E7 | Eb7 A7 | Ab7 D7 | Db7 G7 |
Gb7 C7 | B7 F7 | E7 Bb7 | A7 Bb6 |
Cm | Dm | EbM7 Fm7 | GM7 |"
It's Easy To Remember,Richard Rodgers,Eb,4 4,32,"Fm7 Bb7 | EbM7 C7b9 | Fm7 Bb7 | EbM7 EbM7 Bbm7 Eb7 |
Abo7 AbM7 AbM7 AbM7 | Db7 | Cm7b5 F7 Fm7 Bb7 | Gm7 C7b9 |
Fm7 Bb7 | EbM7 C7b9 | Fm7 Bb7 | EbM7 EbM7 Bbm7 Eb7 |
Abo7 AbM7 AbM7 AbM7 | Db7 | Cm7b5 F7 Fm7 Bb7 | Eb6 |
Bbm7 Eb7 | AbM7 Fm7 | Bbm7 Eb7 | AbM7 |
Abm7 Db7 | GbM7 Ebm7 | Cm7b5 F7b9 | Bb7 Bb7 Gm7 C7b9 |
Fm7 Bb7 | EbM7 C7b9 | Fm7 Bb7 | EbM7 EbM7 Bbm7 Eb7 |
Abo7 AbM7 AbM7 AbM7 | Db7 | Cm7b5 F7 Fm7 Bb7 | Eb6 Eb6 Gm7 C7b9 |"
Look to the Rainbow,Burton Lane,Eb,3 4,72,"Eb6 | AbM7 | Gm7 | Fm7 Fm7 Bb7 |
Eb6 | Bbm7 Bbm7 Eb7 | AbM7 | Bb7 |
Fm7 | Bb7 | Fm7 | Bb7 |
Fm7 | Bb7 | Ab6 | Eb6 |
EbM7 | Cm7 | Fm7 Fm7 Bb7 | EbM7 Eb6 Eb6 |
Fm7 Fm7 Bb7 | EbM7 | AbM7 AbM7 Am7b5 | Bb7 |
EbM7 | Cm7 | Fm7 Fm7 Bb7 | EbM7 Eb6 Eb6 |
Ab6 | Gm7 Gm7 C7b9 | Fm7 Fm7 Bb7b9 | Eb6 |
Eb6 | AbM7 | Gm7 | Fm7 Fm7 Bb7 |
Eb6 | Bbm7 Bbm7 Eb7 | AbM7 | Bb7 |
Fm7 | Bb7 | Fm7 | Bb7 |
Fm7 | Bb7 | Ab6 | Eb6 |
EbM7 | Cm7 | Fm7 Fm7 Bb7 | EbM7 Eb6 Eb6 |
Fm7 Fm7 Bb7 | EbM7 | AbM7 AbM7 Am7b5 | Bb7 |
EbM7 | Cm7 | Fm7 Fm7 Bb7 | EbM7 Eb6 Eb6 |
Ab6 | Gm7 Gm7 C7b9 | Fm7 Fm7 Bb7b9 | Eb6 |
AbM7 | Eb6/G | Fm7 Fm7 Bb7 | EbM7 |
Ab6 | Gm7 Gm7 C7b9 | Fm7 Fm7 Bb7b9 | Eb6 |"
I'm An Old Cowhand,Johnny Mercer,Eb,4 4,18,"Fm7 | Bb7 | EbM7 Ab7 | Gm7 C7 |
Fm7 | Bb7 | EbM7 | Dm7 G7alt |
Cm7 | Gm7 | Cm7 | Gm7 |
Cm7 | Gm7 C7b9 | Fm7 Bb7 | EbM7 C7alt |
Fm7 Bb7 | EbM7 |"
The Midnight Sun,Lionel Hampton,C,4 4,50,"CM7 | CM7 | Cm7 | F9#11 |
BbM7 | BbM7 | Bbm7 | Eb9#11 |
AbM7 | AbM7 | Abm7 | Db9#11 |
CM7 Am7 | Dm7 G7b9 | CM7 | CM7 |
Cm7 | F9#11 | BbM7 | BbM7 |
Bbm7 | Eb9#11 | AbM7 | AbM7 |
Abm7 | Db9#11 | CM7 Am7 | F#m7 B7b9 |
EM7 | Em7 A7 | DM7 | DM7 |
DM7 | Dm7 G7 | Em7 Eb9 | Dm7 Db7#11 |
CM7 | CM7 | Cm7 | F9#11 |
BbM7 | BbM7 | Bbm7 | Eb9#11 |
AbM7 | AbM7 | Abm7 | Db9#11 |
CM7 Am7 | Dm7 G7b9 |"
The Man I Love,George Gershwin,Eb,4 4,32,"Eb | Ebm7 | Gm7b5 | C7+ |
Fm7b5 | Bb7 | Eb C7 | Fm7 Bb7 |
Eb | Ebm7 | Gm7b5 | C7+ |
Fm7b5 | Bb7 | Eb Abm | Eb G7 |
Cm | D7 G7 | Cm | G7 |
Cm | D7 G7 | Cm C7 | Fm7 Bb7 |
Eb | Ebm7 | Gm7b5 | C7+ |
Fm7b5 | Bb7 | Eb | Eb |"
Love Walked In,George Gershwin,Eb,4 4,32,"EbM7 AbM7 | Gm7 Cm7 | F7 | Fm7 Bb7 |
EbM7 AbM7 | Gm7 Cm7 | F7 | Bm7 E7 |
Bbm7 | Eb7 | AbM7#11 | Gm7 C7 |
Fm7 | Abm7 Db7 | Eb/Bb C7+ | F7 Bb7sus4 |
EbM7 AbM7 | Gm7 Cm7 | F7 | Fm7 Bb7 |
EbM7 AbM7 | Gm7 Cm7 | F7 | Bm7 E7 |
Bbm7 | Eb7 | AbM7 | Am7b5 D7#9 |
G7+ C7 | Fm7 Bb7 | Eb69 | Fm7 Bb7 |"
I Like the Likes of You,Vernon Duke and E.Y. Harburg,Eb,4 4,32,"EbM7 Cm7 | Fm7 Bb7 | EbM7 Cm7 | Fm7 Bb7 |
EbM7 Cm7 | Fm7 Bb7 | Eb6 | Fm7 Bb7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 Cm7 | Fm7 Bb7 |
EbM7 Cm7 | Fm7 Bb7 | Eb6 | Bbm7 Eb7 |
AbM7 | AbM7 | Eb6 | Eb6 |
F7 | F7 | Fm7 Bb7 | Fm7 Bb7#5 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 Cm7 | Fm7 Bb7 |
EbM7 Cm7 | Fm7 Bb7 | Eb6 | Fm7 Bb7 |"
"The Late, Late Show",Murray Berlin,Bb,4 4,32,"B7 | Bb7 | B7 | Bb7 |
Eb7 D7 | Db7 | C7 F7 | B7 Bb7 |
B7 | Bb7 | B7 | Bb7 |
Eb7 D7 | Db7 C7 | F7 | Fm7 Bb7 EbM7 |
Ab7 | Ao7 | EbM7 | Bbm7 Eb7 |
Ab7 | Ao7 | Eb7 C7 | Fm7 Bb7 |
B7 | Bb7 | B7 | Bb7 |
Eb7 D7 | Db7 C7 | F7 | Fm7 Bb7 EbM7 EbM7 |"
Hey There,Jerry Ross,Eb,4 4,37,"Eb Cm7 | Fm7 Bb7 | Eb Cm7 | Fm7 Bb7 |
C7 | Fm7 Bb7 | EbM7 Cm7 | Am7 D7 |
G Em7 | Am7 D7 | G Em7 | Am7 D7 |
G7 | C7 | Fm7 Db7 | Fm7 Bb7 |
Eb Cm7 | Fm7 Bb7 | Eb Cm7 | Fm7 Bb7 |
C7 | Fm7 Bb7 | Bbm7 | Eb9 Eb9 Bbm7 Eb9 |
AbM7 | Am7b5 D7 | EbM7 Gm7 | Gm7b5 C7 |
Fm7 | Abm7 Db7 | EbM7 Db7 | Gm7b5 C7 |
Fm7 | Bb7 | Eb |  Fm7 Bb7 |"
Lullaby of the Leaves,Bernice Petker and Joe Young,Eb,4 4,32,"Cm7 A7b5 | D7 G7+ | Gm7 C7 | Fm7 Fm7/Eb |
Dm7b5 | G7alt | Cm AbM7 | Dm7b5 G7alt |
Cm7 A7b5 | D7 G7+ | Gm7 C7 | Fm7 Fm7/Eb |
Dm7b5 | G7alt | Cm Fm/C | Cm |
Ab7 | Ab7 | CM7 | CM7 |
Ab7 | Ab7 | Em7 Eb7 | AbM7 G7+ |
Cm7 A7b5 | D7 G7+ | Gm7 C7 | Fm7 Fm7/Eb |
Dm7b5 | G7alt | Cm AbM7 | Dm7b5 G7alt |"
I'm Old Fashioned,Jerome Kern,F,4 4,36,"FM7 | C7sus4 C7 | FM7 | C7sus4 C7 |
FM7 | FM7 | Em7b5 | A7 |
Dm7 | G7 | Dm7 | G7 |
Gm7 | Gm7 | C7 | C7 |
FM7 | Gm7 C7 | FM7 | Bm7b5 E7b9 |
AM7 Bm7 | C#m7 DM7 | E7 F#m7 | Gm7 C7 |
FM7 | C7sus4 C7 | FM7 | C7sus4 C7 |
Cm7 F7 | BbM7 | Am7 Dm7 | Bm7b5 E7b9 |
Am7 Ab7 | Gm7 C7 | FM7 | Gm7 C7 |"
I'll Be On My Way,John Lennon and Paul McCartney,G,4 4,39,"G | D | G | C |
G | D7 | G C | G D7 |
G | D | G | C |
G | D7 | G C | G |
A7 | D | A7 | D |
E7 | A7 D7 | G | D |
G | C | G | D7 |
G C | G | G | G |
G | G | G | G |
G | G | G |"
My Foolish Heart,Albert Victor Young,Bb,4 4,32,"BbM7 EbM7 | Dm7 G7 | Cm7 Cm7/Bb | Em7/A A7alt |
Dm7 D9#5 | Gm7 Db7 | Cm7 | Cm7b5 F7b9 |
BbM7 | Fm7 Bb7 | EbM7 | Am7b5 D7alt |
Gm7 GmM7 | Gm7 C7 | Cm7 G7+ | Cm7 F7 |
BbM7 EbM7 | Dm7 G7 | Cm7 Cm7/Bb | Em7/A A7alt |
Dm7 D9#5 | Gm7 Db7 | Cm7 Cm7/Bb | Am7b5 D7alt |
Gm7 | Ebm7 Ab7 | BbM7 EbM7 | Ab7#11 G7 |
Cm7 G7alt | C7 C7 Cm7 F7b9 | BbM7 | Cm7 F7 |"
Moon Mist,Mercer Ellington,Bb,4 4,32,"Gm Gm/F | Em7b5 Am7b5/Eb | Bb Bb Bb7 Ab9 | G9 |
Gm7 C9 | Cm7 F7 | Bb B9+ Bb69 Gb9+ | F9 D7 |
Gm Gm/F | Em7b5 Am7b5/Eb | Bb Bb Bb7 Ab9 | G9 |
Gm7 C9 | Cm7 F7 | Bb B9+ Bb69 Gb9+ | F9 F9+ |
Bb Eb/Bb | Bb Bbsus4 | Bb Ebm/Bb | Bb13 |
Bb Eb/Bb | Bb Gm7 | C9 | D7 D7/Ab |
Gm Gm/F | Em7b5 Am7b5/Eb | Bb Bb Bb7 Ab9 | G9 |
Gm7 C9 | Cm7 F7 | Bb Bb C9 B9+ | Bb69 |"
The Java Jive,Milton Drake and Ben Oakland,F,4 4,40,"F6 Abo7 | C7 | Gm7 C7 | F6 |
FM7 F9/Eb | BbM7/D Bbm6/Db | C7 | F6 |
F6 Abo7 | C7 | Gm7 C7 | F6 |
FM7 F9/Eb | BbM7/D Bbm6/Db | C7 | F6 |
Bb7 | Bb7 | Bb7 | F6 |
F6 | Db7 C7 | Gm7b5 C7 | C7 |
F6 Abo7 | C7 | Gm7 C7 | F6 |
FM7 F9/Eb | BbM7/D Bbm6/Db | C7 | F6 |
F6 | Co7 C7 | F6 | Co7 C7 |
FM7 F9/Eb | BbM7/D Db7 | F/C Co7 | C7 |"
No. 251,Jackie Byard,Eb,4 4,32,"Am7b5 D7b9 | Gm7 C7#9 | Fm7 E | Eb |
Am7b5 D7b9 | Gm7 C7#9 | Fm7 E | Eb |
Dm7b5 G7b9 | Cm7 F7#9 | Bbm7 B | Ab |
Am7b5 D7b9 | Gm7 C7#9 | Bbm7 B | Ab |
Dm7 G7#11 | Em7 A7#11 | Dm7 G7#11 | C |
Cm7 F7 | Dm7 G7 | Cm7 F7 | Bb7 |
Am7b5 D7b9 | Gm7 C7#9 | Fm7 E | Eb |
Am7b5 D7b9 | Gm7 C7#9 | Fm7 E | Eb |"
Lover,Richard Rodgers,C,4 4,64,"CM7 | CM7 | F#m7 | B7 |
Fm7 | Bb7 | Em7 | A7 |
Ebm7 | Ab7 | Dm7 | G7 |
Em7 | A7 | Dm7 | G7 |
CM7 | CM7 | F#m7 | B7 |
Fm7 | Bb7 | Em7 | A7 |
Ebm7 | Ab7 | Dm7 | G7 |
CM7 | CM7 | F#m7 | B7 |
EM7 | Fo7 | F#m7 | B7 |
EM7 | Fo7 | F#m7 | B7 |
GM7 | G#o7 | Am7 | D7 |
Em7 | A7 | Dm7 | G7 |
CM7 | CM7 | F#m7 | B7 |
Fm7 | Bb7 | Em7 | A7 |
Ebm7 | Ab7 | Dm7 | G7 |
C6 | A7 | Dm7 | G7 |"
Orbits,Wayne Shorter,C,4 4,24,"C A7b9 | Ebm7 | Gm7b5 | C7 A7b9 |
Ebm7 | Ebm7 | C A7b9 | D7#9 |
Dbm7 | Cm7 | Gb | AbM7 |
Abm7 | Gm7 | Bbm7 | Fm7 |
DM7#5 | Gm7 | Bbm7 | Fm7 |
DM7#5 | Gm7 | DM7#5 | Gm7 |"
High Hopes,Jimmy van Heusen,F,4 4,30,"F | Fo7 | Gm7 | C7 |
F6 Dm7 | Gm7 C7 | F | Bb |
C7 | F6 | F6 F#o7 | Gm7 G#o7 |
Gm7 C7 | F F7 | BbM7 | BbM7 Bo7 |
F/C | F Dm7 | G7 | G7 |
C7 | C7 | F | F7 |
Bb | Bo7 | F F#o7 | Gm7 C7 |
F6 | Gm7 C7 |"
Maybe I Should Change My Ways,John LaTouche and Duke Ellington,Bb,4 4,32,"Cm7b5 F7b9 | BbM7 | Eb7 D7#5 | G7 |
C7 B7 | Bb7 | EbM7 | EbM7 |
EbM7 | Ebm6 Ab7 | BbM7 | Dm7 Db7#11 |
Cm7b5 | G7 G7 C7 F7 | BbM7 | BbM7 |
Cm7b5 F7b9 | BbM7 | Eb7 D7#5 | G7 |
C7 B7 | Bb7 | EbM7 | EbM7 |
EbM7 | Ebm6 Ab7 | BbM7 | Dm7 Db7#11 |
Cm7b5 | G7 G7 C7 F7 | Bb6 | Bb6 |"
Imagination,Jimmy Van Heusen,Eb,4 4,36,"Eb Eo | Fm7 F#o | Eb Gm7b5 | C7 |
Fm C7 | Fm7 Bb7 | Eb | Fm7 Bb7 |
Eb Eo | Fm7 F#o | Eb Gm7b5 | C7 |
Fm C7 | Fm7 Bb7 | Eb | Bbm7 Eb7 |
Ab | Am7 D7 | Gm7 | C7 |
Bb | Cm7 F7 | Bb7 | Bb7+ |
Eb Eo | Fm7 F#o | Eb Gm7b5 | C7 |
Fm C7 | Fm7 Bb7 | G7 | C7 |
Fm7 | Fm7 Bb7 | Eb | Eb |"
Only You Know,Joseph Nimoh,G,4 4,50,"CM7#11/B | CM7#11/B | CM7#11/B | CM7#11/B |
Bm7 | CM7#11/B | Bm7 | CM7#11/B |
CM7#11/B | CM7#11/B | CM7#11/B | CM7#11/B |
Bm7 | CM7#11/B | Bm7 | CM7#11/B |
FM7#11 | F#m7 B7#9 | Ebm7 Ab7b9 | DbM7#5 DbM7#5 DbM7#5 Db6 |
Dm7b5 | G7b9#11 | AbM7 | Am7b5 |
D7b9 | GM7 | F#m7 FM7#11 | Em7 |
EbM7 | AbM7 | Am7b5 Eb7 | D7b9 |
Gm7 | NC | F#7#9 | F#7#9 |
Bm7 | Bm7/A | Abm7b5 | GM7#11 |
F#7sus | F#7#9 | Bm7 | CM7#11 |
Bm7 | CM7#11 | Bm7 | CM7#11 |
Bm7 | CM7#11 |"
Let's Face the Music and Dance,Irving Berlin,C,4 4,56,"Cm | Cm | Cm Cm6 | CmM7 Cm7 |
Cm | Cm | Dm7b5 | G7b9 |
CM7 | Gm7 C7 | F6 | Bb9 |
C6 Ebm6 | Dm7b5 G7#5 | Cm | Cm |
Cm Cm6 | CmM7 Cm7 | G7 | Ab7 |
D7/A | Dm7 | G7 | G7/F |
Em7 | A7 | Dm7 | Bb9 |
C6 | Bbm7 Eb7 | AbM7 | AbM7 Eb7 |
AbM7 | AbM7 Eb7 | AbM7 | AbM7 |
G7 | G7#5 | Cm | Cm |
Cm Cm6 | CmM7 Cm7 | Cm | Cm |
Dm7b5 | G7b9 | CM7 | Gm7 C7 |
F6 | Bb9 | Am7 | Ab7b5 |
Dm9/G | Dm7 G7sus4 | C6 Ebm6 | Dm7b5 G7#5 |"
On the Sunny of the Street,Jimmy McHugh,C,4 4,32,"C6 | E7 | F6 | G7 G#o7 |
Am7 | D7 | Dm7 G7 | CM7 G7 |
C6 | E7 | F6 | G7 G#o7 |
Am7 | D7 | Dm7 G7 | C6 Bb9 Am7 Ab7 |
Gm7 | C7 | FM7 | F6 |
Am7 | D7 | G7 Dm7 | G7 |
C6 | E7 | F6 | G7 G#o7 |
Am7 | D7 | Dm7 G7 | C6 G7 |"
Love Is A Many Spendored Thing,Sammy Fain,Eb,4 4,32,"Eb | Cm | Gm | Gm Gm Bbm7 Eb7 |
Ab Ab6 | AbM7 Fm6 | Cm | Cm Cm Fm6 Cm |
Fm7 | Fm7 Fm7 Fm7 Cm7 | Fm6 | Fm6 Fm6 Fm6 G7b9 |
Cm Cm7 | D7 Am7 D7 D7 | G | Bb7 |
Eb | Cm | Gm | Gm Gm Bbm7 Eb7 |
Ab AbM7 | Ab6 Ab | Gm7 C9 | C9 C9 Gm7 C7 |
Fm Fm7 | Fm6 G7+ | C7+ C7 F7 F7 | Abm6 |
Eb Cm | Fm7 Fm7 Fm7 Bb7b9 | Eb | Fm7 Bb7b9 |"
I Want To Talk About You,Billy Eckstine,Eb,4 4,32,"EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
Gm7 C7 | Fm7 Bb7 | Gm7b5 C7 | B7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
Gm7 C7 | Fm7 Bb7 | EbM7 Db7 | EbM7 B7 |
Bbm7 Eb7 | Bbm7 Eb7 | Bbm7 Eb7 | AbM7 |
Dm7 G7 | CM7 Am7 | Dm7 G7 | Fm7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
Gm7 C7 | Fm7 Bb7 | Eb Eb Gm7 C7 | Fm7 Bb7 |"
