title,composedby,key,timesig,bars,chordprog
One Finger Snap,Herbie Hancock,C,4 4,20,"NC | NC | NC NC NC NC NC NC NC AM13#11 | AM13#11 |
Bbm7/Eb | Eb7 | Bbm7/Eb | Eb7 |
Ebm7 | Ab7 | Ebm7 | Ab7 |
Gm7b5 | C7b9 | Fm7b5 | Bb7b9 |
EbM7 | EbM7 | Dm7b5 | G7b9 |"
Iris,Wayne Shorter,C,3 4,16,"Fm11 | Fm11 | EM7#11 | GbM7#11 |
Bb7#5 | Db7#11 | AbM7#5 | AbM7#5 |
Cm7 | Cm7 | Db7#11 | Cm7 |
Db7#11 | Dbm+ | Db7#11 | Db7#11 |"
Moonlight in Vermont,John Blackburn and Karl Suessdorf,Eb,4 4,28,"Eb6 Cm7 | Fm7 E7#9 | Eb6 Cm7 | Db9 |
Fm7 Bb7sus4 | Eb6 Eb6 Fm7 E7 | Eb6 Cm7 | Fm7 E7#9 |
Eb6 Cm7 | Db9 | Fm7 Bb7sus4 | EbM7 |
Am7 D7 | GM7 G#o7 | Am7 Ab9 | GM7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | AbM7 Bb7alt |
Eb6 Cm7 | Fm7 E7#9 | Eb6 Cm7 | Db9 |
Fm7 Bb7sus4 | EbM7 | Cm7 Cm7 F9 E9 | EbM7 |"
Minority,Gigi Gryce,Ab,4 4,16,"FmM9 | Dm7b5 | Gm9b5 | C13b9 |
FmM9 | Dm7b5 | Cm9b5 | F13b9 |
Bbm7 | Eb7 | Abm7 | Db7 |
Gbm7 | B7 | Gm7 | C7alt |"
Oop Bop Sh-Bam,Dizzy Gillespie and Walter G. Fuller,Bb,4 4,30,"Bb Gm7 | Cm7 B7b5 | Bb G7b9 | C7+ F7 |
Bb Gm7 | Cm7 C#o7 | Bb Dbo7 | B7 Bb |
Bb Gm7 | Cm7 B7b5 | Bb G7b9 | C7+ F7 |
Bb Gm7 | Cm7 C#o7 | Bb Dbo7 | B7 Bb |
Fm7 | E7 | Eb9 Gm7 | Bb E7 Eb Abm7 |
Gm7 | F#7 F#7 F#7 C#o7 | Cm7 F7 | Cm7b5 F9 F9 F9 |
Bb Gm7 | Cm7 B7b5 | BbM7 G7b5 | C7+ F7 |
Bb Bb C#o7 B7 | Bb Bb Cm7 B7 |"
Laird Baird,Charlie Parker,Bb,4 4,12,"Bb | Am7 D7 | Gm7 C7 | Fm7 Bb7 |
Eb7 | Ebm7 | Dm7 | Dbm7 Gb7 |
Cm7 | F7 | Bb G7 | Cm7 F7 |"
"Hello, Dolly!",Jerry Herman,Bb,4 4,68,"BbM7 | BbM7 | Gm7 | Gm7 |
BbM7 | Dbo7 | Cm7 | F7 |
Cm7 | Cm7 | Cm+ | Cm |
Cm7 | F7 | Bb6 Bbo7 | F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
Fm7 Bb7 | Fm7 Bb7 | EbM7 | Cm7 D7 |
Gm7 | Dm7 | Gm7 | Dm7 |
C7 | Cm7 F7 | Bb6 Bo7 | Cm7 F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
BbM7 | Dbo7 | Cm7 | F7 |
Cm7 | Cm7 | Cm+ | Cm |
Cm7 | F7 | Bb6 Bbo7 | F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
Fm7 Bb7 | Fm7 Bb7 | EbM7 | Cm7 D7 |
Gm7 | Dm7 | Gm7 | Dm7 |
C7 | Cm7 F7 | C7 | Cm7 F7 |
C7 | Cm7 F7 | BbM7 | F7 |"
The Kicker,Joe Henderson,Bb,4 4,24,"Bb7 | Bb7 | Bb7 | Bb7 |
Ebm7 | Ab7 | DbM7 | GbM7 |
C7#9 | F7#9 | Bbm7 | F7 |
Bb7 | Bb7 | Bb7 | Bb7 |
Ebm7 | Ab7 | DbM7 | GbM7 |
C7#9 | F7#9 | Bbm7 | F7 |"
More I Cannot Wish You,Frank Loesser,C,6 8,64,"CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 | Dm7 | G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 Em7 Em7 Dm7 Dm7 G7 | C6 C6 Dm7/G | C6 |
Am7 | D7 | GM7 | Bm7 E7 |
Am7 | D7 | G6 | Bm7 E7 |
Am7 | D7 | GM7 | Em7 A7b9 |
Dm7 | Gm7 | Dm7 | G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 Em7 Em7 Dm7 Dm7 G7 | C6 | Dm7 Dm7/G |"
King Porter Stomp,Jelly Roll Morton,Eb,4 4,32,"Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F9 | F9+ F9 Bb7 Bb7 |
Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F7 Fm7/Bb | Eb Eb7 Eb7 Eb7 |
Ab Ebo7 | Eb7 | Ab Ebo7 | Eb7 |
Ab Ebo7 | Eb7 Eb7 Db9 C9 | F9 F7b9 Fm7/Bb Fm7/Bb | Eb Eb7 |
Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F9 F7b9 Fm7/Bb Fm7/Bb | Eb |"
Ko Ko,Charlie Parker,Bb,4 4,32,"Bb | Bb | Fm7 | Bb7 |
Eb | Eb | Ab7 | Ab7 |
Bb | Bb | C7 | C7 |
Cm7 | G7 | Cm7 | F7 |
Bb | Bb | Fm7 | Bb7 |
Eb | Eb | Ab7 | Ab7 |
Bb | Bb | C7 | C7 |
Cm7 | F7 | Bb | Bb |"
Let's Cool One,Thelonious Monk,F,4 4,32,"FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | Gm7 C7 |
FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | F6 |
Cm7 | F7 | BbM7 | BbM7 |
G11 | G11 | C7sus4 | C7sus4 |
FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | F6 |"
Intermezzo,Robert Henning and Heinz Provost,Eb,4 4,30,"B7 | Eb | Gm | Eb |
Abm6 Abm6 Abm6 Ab | Fm7 | Ab | Ab |
Abm6 | Dm7b5 | E7 | Bb7 Fm7 |
Bb7 | Fm7 Bb7+ | Eb | Eb |
B7 | Eb | Gm | Eb |
Abm6 Abm6 Abm6 Ab | Fm7 | Ab | D7 |
Eb | Eb Gbo7 | Fm7 | Bb7 |
Eb Ab | Eb Bb7+ |"
The Last Time I Saw Paris,Jerome Kern,Ab,4 4,32,"Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 | Eb7 | Bbm7 Eb7 | Ab6 Eb7 |
Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 | Eb7 | Bbm7 Eb7 | Ab6 Eb7 |
Bb7 | EbM7 | Bb7 | EbM7 |
C7 | FM7 | Bbm7 | Eb7 |
Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 Eb7 | Cm7b5 F7 | Bbm7 Eb7 | Ab6 |"
Moonlight Becomes You,Ned Washington and Hoagy Carmichael,F,4 4,32,"FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | A7 D7 | G7 C7 |
FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | F7 Eb7 | FM7 F7 |
BbM7 | Cm7 | F7 | BbM7 |
Em7b5 A7b9 | Dm7 | G7 | Gm7 C7 |
FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | FM7 | Gm7 C7 |"
