title,composedby,key,timesig,bars,chordprog,key_tonic_pc,key_mode,key_score,num_tokens,funcional_prog,key_estimada,rare_chords
Ol' Man River,Jerome Kern,Eb,4 4,32,"Eb Cm | Eb Ab | Eb Ab | Eb Cm |
Bb7 Bb9 | Fm7 Bb7 | Eb Ab | Eb |
Eb Cm | Eb Ab | Eb Ab | Eb Cm |
Bb7 Bb9 | Fm7 Bb7 | Eb Ab | Eb Eb Co7 D7 |
Gm D7 | Gm Gm Co7 D7 | Gm Co7 | Gm D7 |
Gm Co7 | Gm Co7 | Gm Co7 | Gm Gm Fm Bb7 |
Eb Cm | Eb Ab | Eb Bb7 | Cm F7 |
Eb Cm | Fm7 Bb7 | Eb Abm | Eb Fm7 Bb7 Bb7 |",3,major,122.80000000000005,71,I vi I IV I IV I vi V7 V7 ii V7 I IV I I vi I IV I IV I vi V7 V7 ii V7 I IV I I vio VII7 iii VII7 iii iii vio VII7 iii vio iii VII7 iii vio iii vio iii vio iii iii ii V7 I vi I IV I V7 vi II7 I vi ii V7 I iv I ii V7 V7,Eb,0
Here's What I'm Here For,John Williams,Eb,4 4,32,"Eb | Fm7 Bo7 | Eb | Gb Bb7 |
Eb | Fm7 Bo7 | Eb | Bbm7 |
Ab | D7#5 | Abm Abm Abm G | C7#5 |
Fm Abm6 | Eb | Cm7 F7 | Bb7 |
Eb | Fm7 Bo7 | Eb | Gb Bb7 |
Eb | Fm7 Bo7 | Eb D7#5 | Db7 Db7 Dbm6 Go |
Ab7 | G7#5 G7#5 G7#5 G7 | C7#5 C7#5 C7#5 C7 | F7 Bb9 |
Eb Eb G7 C7 | Ab7 F9 | Fm7 Bo7 | Eb6 |",0,minor,69.39999999999996,59,III iv viio III (6) bVII7 III iv viio III bvii VI II7 vi vi vi V I7 iv vi III i IV7 bVII7 III iv viio III (6) bVII7 III iv viio III II7 bII7 bII7 bii vo VI7 V7 V7 V7 V7 I7 I7 I7 I7 IV7 bVII7 III III V7 I7 VI7 IV7 iv viio III,Cm,2
Look For The Silver Lining,Jerome Kern,C,4 4,32,"C6 | Dm7 G7 | C6 | Dm7 G7 |
C6 | Ebo7 | C6 | C6 |
Dm7 | G7 | C6 | Am7 |
D7 | D7 | Dm7 | G7 |
C6 | Dm7 G7 | C6 | Dm7 G7 |
C6 | C7 | F | F |
D7 | D7 | C6 Em7b5 | A7 |
Dm7 | G7 | C6 | C6 |",0,major,60.79999999999999,37,I ii V7 I ii V7 I biii I I ii V7 I vi II7 II7 ii V7 I ii V7 I ii V7 I I7 IV IV II7 II7 I iiiø VI7 ii V7 I I,C,0
Help Me Rhonda,Brian Wilson and Mike Love,C,4 4,32,"C | G7 | C | C |
C | G7 | C | C |
Am | Am | F | D7 |
C | F G7 | C | C |
G7 | G7 | C | C |
G7 | G7 | C | C |
F | F | Am | C |
Dm7 | G7 | C | C |",0,major,64.4,33,I V7 I I I V7 I I vi vi IV II7 I IV V7 I I V7 V7 I I V7 V7 I I IV IV vi I ii V7 I I,C,0
L.O.V.E.,Bert Kaempert and Milt Gilbert,G,4 4,32,"G6 | GM7 | Am7 | D7 |
D7 | D7 | GM7 | G6 |
G7 | G7 | CM7 | CM7 |
A7 | A7 | D9sus4 | D7 |
G6 | GM7 | Am7 | D7 |
D7 | D7 | GM7 | G6 |
G7 | G7 | CM7 | C#o7 |
G6 | D7 | G6 | Am7 D7 |",7,major,54.39999999999999,33,I I ii V7 V7 V7 I I I7 I7 IV IV II7 II7 V7 V7 I I ii V7 V7 V7 I I I7 I7 IV (6) I V7 I ii V7,G,1
North Atlantic Run,Gerry Mulligan,G,4 4,88,"G69 | G69 | G69 D7sus4 | D7sus4 |
G69 | G69 | G69 D7sus4 | D7sus4 |
G69 | G69 | G69 D7sus4 | D7sus4 |
G69 | G69 | G69 D7sus4 | D7sus4 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | C | Am7/D |
Bm7 | Bb6 | Am7 | Ab7b5 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | C | Am7/D |
Bm7 | Em7 | Dm7 | G7b5 |
CM7 C6 | CM7 C6 | Bm7 | Bm7/E E7b9 |
Am7 AmM7 | Am7 D7 | G | G7#5 |
C | Cm6 | Bm7 | E7b9 |
Am7 | Am7/D D7 | G | Cm7 F7 |
BbM7 Bb6 | BbM7 Bb6 | Cm7 F7 | Cm7 F7 |
GM7 G6 | GM7 G6 | Am7 | D7 |
G | G G7 | C | CmM7 |
Bm7 | Eb7/Bb | Am7 | D7sus4 |
F#7 G69 | G69 | G69 D7sus4 | D7sus4 |
F#7 G69 | G69 | G69 D7sus4 | D7sus4 |",7,major,180.70000000000013,110,I I I V7 V7 I I I V7 V7 I I I V7 V7 I I I V7 V7 I I ii V7 I I ii V7 I I IV ii iii bIII ii bII7 I I ii V7 I I ii V7 I I IV ii iii vi v I7 IV IV IV IV iii iii VI7 ii ii ii V7 I I7 IV iv iii VI7 ii ii V7 I iv bVII7 bIII bIII bIII bIII iv bVII7 iv bVII7 I I I I ii V7 I I I7 IV iv iii bVI7 ii V7 VII7 I I I V7 V7 VII7 I I I V7 V7,G,0
Kansas City,Mike Stoller and Jerry Leber,C,4 4,12,"C | C | C | C |
F | F | C | C |
G7 | F7 | C | C |",0,major,22.4,12,I I I I IV IV I I V7 IV7 I I,C,0
Lines And Spaces,Joe Lovano,Bb,4 4,40,"Ebo7 | D7 Dbm7 | Bm7 | Bm7 |
Bb7 Ebm7 | Am7b5 D7b9 | Gm7 | Ebm7 |
Abm7 | Bbo7 | BM7 | BM7 |
Ebo7 | D7 Dbm7 | Bm7 | Bm7 |
Ebo7 | D7 Dbm7 | Bm7 | Bm7 |
Bb7 Ebm7 | Am7b5 D7b9 | Gm7 | Ebm7 |
Abm7 | Bbo7 | BM7 | BM7 |
Ebo7 | D7 Dbm7 | Bm7 | Bm7 |
Am7 | Am7 | Am7 | Am7 |
Am7 | Am7 | Am7 | Am7 |",7,major,47.8,48,bvi V7 (6) iii iii bIII7 bvi iiø V7 i bvi bii biii III III bvi V7 (6) iii iii bvi V7 (6) iii iii bIII7 bvi iiø V7 i bvi bii biii III III bvi V7 (6) iii iii ii ii ii ii ii ii ii ii,G,4
Idol Gossip,Gerry Mulligan,F,4 4,32,"Dm7 | Dm7 | Bb7 | Bb7 |
Em7b5 | A7 | Dm7 | A7 |
Dm7 | Dm7 | Bb7 | Bb7 |
Em7b5 | A7 | Dm7 | Cm7 F7 |
BbM7 Bo7 | Cm7 F7 | BbM7 Bo7 | Cm7 F7 |
BbM7 Bo7 | Cm7 F7 | BbM7 Gm7 | Em7b5 A7 |
Dm7 | Dm7 | Bb7 | Bb7 |
Em7b5 | A7 | Dm7 | A7 |",2,minor,51.999999999999986,41,i i VI7 VI7 iiø V7 i V7 i i VI7 VI7 iiø V7 i bvii III7 VI (9) bvii III7 VI (9) bvii III7 VI (9) bvii III7 VI iv iiø V7 i i VI7 VI7 iiø V7 i V7,Dm,3
Heaven,Duke Ellington,Bb,4 4,32,"BbM7 | BbM7 | G7b5 | G7b5 |
C7#11 | C7#11 | F7#5 | F7#5 |
BbM7 | BbM7 | G7b5 | G7b5 |
C7#11 | C7#11 | F7#5 | F7#5 |
Fm7 | Bb7 | EbM7 | EbM7 |
Em7b5 | A7 | Dm7 | C7 B7 |
BM7 | BM7 | G7 | G7 |
C7 | C7 F7 | BbM7 | BbM7 |",5,major,35.89999999999999,34,IV IV II7 II7 V7 V7 I7 I7 IV IV II7 II7 V7 V7 I7 I7 i IV7 bVII bVII viiø III7 vi V7 (6) (6) (6) II7 II7 V7 V7 I7 IV IV,F,3
The Look of Love,Burt Bacharach,F,4 4,55,"Dm7 | Dm7 | Am7 | Am7 |
BbM7 | BbM7 | Em7/A | A7 |
Dm7 | Am7/D D7 | BbM7 | BbM7 |
Bbm6 | FM7 F7 | BbM7 | BbM7 |
Em7/A A7 | Dm7 G7 | FM7 | Gm7/C |
Gm7/C | FM7 | Gm7/C | Gm7/C |
Dm7 | Dm7 | Am7 | Am7 |
BbM7 | BbM7 | Em7/A | A7 |
Dm7 | Am7/D D7 | BbM7 | BbM7 |
Bbm6 | FM7 F7 | BbM7 | BbM7 |
Em7/A A7 | Dm7 G7 | FM7 | Gm7/C |
Gm7/C | FM7 | Gm7/C | Gm7/C |
Dm7 | Dm7 | G7 | G7 |
Gm7 | Gm7 | Dm7 |",5,major,99.60000000000002,63,vi vi iii iii IV IV vii III7 vi iii VI7 IV IV iv I I7 IV IV vii III7 vi II7 I ii ii I ii ii vi vi iii iii IV IV vii III7 vi iii VI7 IV IV iv I I7 IV IV vii III7 vi II7 I ii ii I ii ii vi vi II7 II7 ii ii vi,F,0
Old Cape Cod,"Claire Rothrock, Milt Yakus, Allen Jeffrey",Eb,4 4,32,"EbM7 | Bbm7 Eb7 | AbM7 | Db7 |
EbM7 C7 | F7 | Fm7 | Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Db7 |
EbM7 C7 | F7 Bb7 | EbM7 | EbM7 C7b9 |
Fm7 Bb7 | EbM7 C7b9 | Fm7 Bb7 | EbM7 Eb7 |
AbM7 Ao7 | EbM7 Db7 C7b9 C7b9 | Fm7 F7 | Bb7 Bb7+ |
EbM7 | Bbm7 Eb7 | AbM7 | Db7 |
EbM7 C7 | F7 Bb7 | EbM7 | Fm7 Bb7 |",3,major,66.39999999999998,52,I v I7 IV bVII7 I VI7 II7 ii V7 I v I7 IV bVII7 I VI7 II7 V7 I I VI7 ii V7 I VI7 ii V7 I I7 IV (6) I bVII7 VI7 VI7 ii II7 V7 V7 I v I7 IV bVII7 I VI7 II7 V7 I ii V7,Eb,1
The Lamp is Low,Kurt Weil,F,4 4,34,"Gm7 | C7 | Gm7 Am7 | BbM7 C7b9 |
F69 | Bb13 | FM7 E7 | Eb7 D7b9 |
Gm7 | C7 | Gm7 Am7 | BbM7 C7b9 |
F69 | Bb13 | FM7 | FM7 FM7 Dm7 Dbm7 |
Cm7 | F7 | Cm7 Dm7 | EbM7 F7b9 |
BbM7 | Bb6 | Bbm7 | Eb7 |
Gm7 | C7 | Gm7 Am7 | BbM7 C7b9 |
Am7b5 | D7b9 | Gm7b5 | C7b9 |
FM7 | Am7 D7b9 |",5,major,67.79999999999998,48,ii V7 ii iii IV V7 I IV7 I VII7 bVII7 VI7 ii V7 ii iii IV V7 I IV7 I I I vi bvi v I7 v vi bVII I7 IV IV iv bVII7 ii V7 ii iii IV V7 iiiø VI7 iiø V7 I iii VI7,F,0
Jack Leg,Jack Wilson,C,4 4,16,"Gm | Gm D7+ | Gm | Gm D7+ |
Gm | Gm | D7 | D7 |
G | G | C7 | C7 |
Gm | Am7b5 D7+ | Gm | Gm D7 |",7,minor,33.599999999999994,20,i i V7 i i V7 i i V7 V7 I I IV7 IV7 i iiø V7 i i V7,Gm,0
It Only Happens When I Dance With You,Irving Berlin,C,4 4,36,"CM7 | C#o7 | Dm7 | G7 |
CM7 | C#o7 | Dm7b5 | G7 |
FM7 | Fm6 | CM7 | CM7 |
Em7 | A7b9 | Dm7 | G7b9 |
CM7 | C#o7 | Dm7 | G7 |
CM7 | C#o7 | Dm7b5 | G7 |
FM7 | Fm6 | Em7b5 | A7 |
Dm7 | G7 | CM7 Em7 | A7 |
Dm7 | G7 | C6 | Dm7 G7 |",0,major,55.19999999999999,38,I bii ii V7 I bii iiø V7 IV iv I I iii VI7 ii V7 I bii ii V7 I bii iiø V7 IV iv iiiø VI7 ii V7 I iii VI7 ii V7 I ii V7,C,0
I Wish You Love,Charles Trenet and Albert Beach,Eb,4 4,32,"Fm7 | Bb7 | Gm7 | Gbo7 |
Fm7 | Bb7 | Eb6 AbM7 | Gm7b5 C7b9 |
Fm7 | Bb7 | Gm7 | Gbo7 |
Fm7 | Bb7 | Bbm7 | Eb7 |
AbM7 | Abm7 Db7 | Eb69 Db9 | C7b9 |
Fm7 | F7#11 | Fm7 | Bb7 C7alt |
Fm7 | Bb7 | Gm7 | Gbo7 |
Fm7 | Bb7 | Eb6 | Gm7b5 C7b9 |",3,major,50.599999999999994,38,ii V7 iii biii ii V7 I IV iiiø VI7 ii V7 iii biii ii V7 v I7 IV iv bVII7 I bVII7 VI7 ii II7 ii V7 VI7 ii V7 iii biii ii V7 I iiiø VI7,Eb,0
The Loop,Chick Corea,F,3 4,48,"FM7 | Dm7 | Gm7 | C7 C#o7 C#o7 C#o7 C#o7 C#o7 |
Dm7 | Dm7/C | Bm7b5 | BbmM7 |
BbM7/A | Abo7 | Gm7 | A7 |
Dm7 | E7 | Am7 Am7 D7 | Gm7 C7 |
FM7 | Dm7 | Gm7 | C7 C#o7 C#o7 C#o7 C#o7 C#o7 |
Dm7 | Dm7/C | Bm7b5 | BbmM7 |
F/A | Abo7 | Gm7 | A7 |
Dm7 | G7 | Gm7 | C7 B7#11 |
BbM7 | Bo7 | F/C | Bbm7/Db |
Dm7 | Bbm7/Db | F/C | Bo7 |
BbM7 | Eb7 | Am7 | D7 |
Abm7 | Db7 | Gm7 | C7 |",2,minor,78.9,62,III i iv bVII7 viio viio viio viio viio i i (9) vi VI (6) iv V7 i II7 v v I7 iv bVII7 III i iv bVII7 viio viio viio viio viio i i (9) vi III (6) iv V7 i IV7 iv bVII7 (9) VI (9) III vi i vi III (9) VI bII7 v I7 (6) VII7 iv bVII7,Dm,8
Theme from Mr. Broadway,Dave Brubeck,Eb,3 4,24,"Eb7 | Ab7 | Eb7 | Bb7 |
Eb7 | Ab7 | Eb7 | Eb7 |
Ab7 | Ebm7 | Ab7 | Ab7 |
Eb7 | Fm7 | Gb6 | C7 |
F7 | F7 | E7 | E7 |
Eb7 | Cm7 | F7 | Bb7 |",8,major,23.4,24,V7 I7 V7 II7 V7 I7 V7 V7 I7 v I7 I7 V7 vi bVII III7 VI7 VI7 bVI7 bVI7 V7 iii VI7 II7,Ab,0
How Deep Is Your Love,"Barry Gibb, Robin Gibb, and Maurice Gibb",Eb,4 4,52,"Eb | Gm7 | Fm7 C7 | Fm7 G7 |
Ab/Bb | Eb Gm7 | Cm7 | Fm7 |
Ab/Bb | AbM7 | Gm7 | Fm7 |
Db9 | Gm7 | Ab/Bb | Eb |
EbM7 | AbM7 | Abm6 | Eb |
Bbm/Db | C7 | C7 | Fm7 |
Abm6 | Eb | Gm7 | Fm7 C7 |
Fm7 G7 | Ab/Bb | Eb Gm7 | Cm7 |
Fm7 | Ab/Bb | AbM7 | Gm7 |
Fm7 | Db9 | Gm7 | Ab/Bb |
Eb | EbM7 | AbM7 | Abm6 |
Eb | Bbm/Db | C7 | C7 |
Fm7 | Abm6 | Eb Gm7 | Ab/Bb |",3,major,92.20000000000002,59,I iii ii VI7 ii III7 IV I iii vi ii IV IV iii ii bVII7 iii IV I I IV iv I v VI7 VI7 ii iv I iii ii VI7 ii III7 IV I iii vi ii IV IV iii ii bVII7 iii IV I I IV iv I v VI7 VI7 ii iv I iii IV,Eb,0
No Moon At All,Dave Mann and Redd Evans,F,4 4,32,"Dm | A7 | D7 | Gm |
Em7b5 A7 | Dm Dm Bb7 A7 | Dm | Em7b5 A7 |
Dm | A7 | D7 | Gm |
Em7b5 A7 | Dm Dm Bb7 A7 | Dm | Dm |
D7 | D7 | G7 | G7 |
C7 | C7 | FM7 | A7 |
Dm | A7 | D7 | Gm |
Em7b5 A7 | Dm Dm Bb7 A7 | Dm | Em7b5 A7b9 |",2,minor,72.6,46,i V7 I7 iv iiø V7 i i VI7 V7 i iiø V7 i V7 I7 iv iiø V7 i i VI7 V7 i i I7 I7 IV7 IV7 bVII7 bVII7 III V7 i V7 I7 iv iiø V7 i i VI7 V7 i iiø V7,Dm,0
Nostalgia In Times Square,Charles Mingus,C,4 4,12,"F7 Eb7 | F7 Eb7 | F7 Eb7 | F7 Eb7 |
Abm7 Db7 | Abm7 Db7 | F7 Eb7 | F7 Eb7 |
Dm7 G7 | Cm7 F7 | Bbm7 Eb7 | F |",8,major,23.2,23,VI7 V7 VI7 V7 VI7 V7 VI7 V7 i IV7 i IV7 VI7 V7 VI7 V7 (6) VII7 iii VI7 ii V7 VI,Ab,1
The Lonesome Road,Gene Austin and Nathaniel Shilkret,Eb,4 4,16,"Eb | Abm6 | Eb Eb Fm Bb7 | Eb |
Eb | Abm6 | Eb Eb Fm Bb7 | Eb |
Cm | Gm | Cm | Gm Bb7 |
Eb | Abm6 | Eb Eb Fm Bb7 | Eb |",3,major,48.699999999999996,26,I iv I I ii V7 I I iv I I ii V7 I vi iii vi iii V7 I iv I I ii V7 I,Eb,0
In A Sentimental Mood,Duke Ellington,C,4 4,32,"Dm DmM7 | Dm7 Dm6 | Gm GmM7 | Gm7 Gm6 |
Dm | D7 | Gm7 C7 | F A7alt |
Dm DmM7 | Dm7 Dm6 | Gm GmM7 | Gm7 Gm6 |
Dm | D7 | Gm7 C7 | FM7 FM7 Ebm7 Ab7 |
DbM7 | Ebm7 Ab7 | Db Bb7 | Eb7 Ab7 |
DbM7 | Ebm7 Ab7 | Gm7/C | C7 |
Dm DmM7 | Dm7 Dm6 | Gm GmM7 | Gm7 Gm6 |
Dm | D7 | Gm7 C7 | FM7 A7alt |",5,major,81.89999999999999,56,vi vi vi vi ii ii ii ii vi VI7 ii V7 I III7 vi vi vi vi ii ii ii ii vi VI7 ii V7 I I bvii bIII7 bVI bvii bIII7 bVI IV7 bVII7 bIII7 bVI bvii bIII7 ii V7 vi vi vi vi ii ii ii ii vi VI7 ii V7 I III7,F,0
The Lady Is A Tramp,Richard Rodgers,C,4 4,48,"CM7 | Eb7 | Dm7 | G7 |
CM7 | Eb7 | Dm7 | G7 |
CM7 | Gm7 C7 | FM7 | Bb7 |
Em7 A7 | Dm7 G7 | CM7 A7 | Dm7 G7 |
CM7 | Eb7 | Dm7 | G7 |
CM7 | Eb7 | Dm7 | G7 |
CM7 | C7 | FM7 | Bb7 |
Em7 A7 | Dm7 G7 | CM7 CM7 Dm7 G7 | CM7 CM7 CM7 C7 |
FM7 | G7 | Em7 | Am7 |
Dm7 | G7 | Em7 A7 | Dm7 G7 |
CM7 | Eb7 | Dm7 | Bm7b5 E7b9 |
Am | Dm7 G7 | CM7 | Dm7 G7 |",0,major,105.7,66,I bIII7 ii V7 I bIII7 ii V7 I v I7 IV bVII7 iii VI7 ii V7 I VI7 ii V7 I bIII7 ii V7 I bIII7 ii V7 I I7 IV bVII7 iii VI7 ii V7 I I ii V7 I I I I7 IV V7 iii vi ii V7 iii VI7 ii V7 I bIII7 ii viiø III7 vi ii V7 I ii V7,C,0
Maybe,Charles Strouse,Bb,4 4,32,"Bb | EbM7 EbM7 EbM7 Eb6 | Bb Bb Bb BbM7 | EbM7 Eb6 |
Bb D7 Gm7 Gm7 | Gm7 C7 | Cm7 F7 | Bb F7 |
Bb | EbM7 EbM7 EbM7 Eb6 | Bb Bb Bb BbM7 | EbM7 Eb6 |
Bb D7 Gm7 Gm7 | Gm7 C7 | Ab | Db69 |
A A Asus4 A | E7sus4 E7 | F#m | C#7sus4 C#7 |
A A Asus4 A | E7sus4 E7 | F#m F#m7 | F7 |
Bb | EbM7 EbM7 EbM7 Eb6 | Bb Bb Bb BbM7 | EbM7 Eb6 |
Bb D7 Gm7 Gm7 | Gm7 C7 | Cm7 F7 | Bb |",10,major,114.90000000000003,78,I IV IV IV IV I I I I IV IV I III7 vi vi vi II7 ii V7 I V7 I IV IV IV IV I I I I IV IV I III7 vi vi vi II7 bVII bIII VII VII VII7 VII (6) (6) bvi bIII7 bIII7 VII VII VII7 VII (6) (6) bvi bvi V7 I IV IV IV IV I I I I IV IV I III7 vi vi vi II7 ii V7 I,Bb,4
I'll Get By,Fred E. Ahlert,C,4 4,28,"C6 | C6 G7b9 | CM7 Bm7 | E7 E7+ |
F6 | A7/E | Dm7 D7 | D7 |
G7 | G7 Co7 | G7/D G7 | G7 G7+ |
C6 | C6 G7b9 | CM7 Bm7 | E7 E7+ |
F6 | A7/E | Dm7 Bm7 | E7 |
Am7 A7 | A7 | Dm7 | G7 G7b9 |
C6 | Dm7 G7 | G7 | G7 |",0,major,61.79999999999999,42,I I V7 I vii III7 III7 IV VI7 ii II7 II7 V7 V7 io V7 V7 V7 V7 I I V7 I vii III7 III7 IV VI7 ii vii III7 vi VI7 VI7 ii V7 V7 I ii V7 V7 V7,C,0
My Ideal,"Leo Robin, Richard A. Whiting, Newell Chase",Eb,4 4,16,"Eb C7 | Fm | Db7 C7 | F7 |
Bb7 Fm7 | Bb7 G7 | Cm7 F7 | B7 Bb7 |
Eb C7 | Fm | Db7 C7 | F7 |
Ab Abm | Eb Cm7 | F7 Bb7 | Eb Eb Fm7 Bb7 |",3,major,38.89999999999999,30,I VI7 ii bVII7 VI7 II7 V7 ii V7 III7 vi II7 bVI7 V7 I VI7 ii bVII7 VI7 II7 IV iv I vi II7 V7 I I ii V7,Eb,0
If I Didnt' Care,Jack Lawrence,Bb,4 4,32,"Bb6 F+ | Bb6 | Bb6 F+ | Bb6 |
C7 C7+ | C7 | C7 C7+ | C7 |
D7 | D7 | Gm7 | Gm7 |
C7 | C7 | Cm7 Ebm6 | F7 |
Bb6 F+ | Bb6 | Bb6 F+ | Bb6 |
C7 Gm7 | C7 Gm7 | C7 | C7 |
Am7b5 | D7 | G7 | G7 |
C7 | Cm7 F7b9 | Bb6 | Cm7 F7 |",5,major,59.89999999999998,43,IV I7 IV IV I7 IV V7 V7 V7 V7 V7 V7 VI7 VI7 ii ii V7 V7 v bvii I7 IV I7 IV IV I7 IV V7 ii V7 ii V7 V7 iiiø VI7 II7 II7 V7 v I7 IV v I7,F,0
Nica's Dream,Horace Silver,Db,4 4,64,"BbmM7 | Bbm6 | AbmM7 | Abm6 |
BbmM7 | Bbm6 | Abm7 | Db7 |
Abm7 | Db7 | GbM7 Db7#9 | C7#9 |
F7b5b9 | F7b5b9 F7#5 | BbmM7 | BbmM7 |
BbmM7 | Bbm6 | AbmM7 | Abm6 |
BbmM7 | Bbm6 | Abm7 | Db7 |
Abm7 | Db7 | GbM7 Db7#9 | C7#9 |
F7b5b9 | F7b5b9 F7#5 | BbmM7 | BbmM7 |
Ebm7/Ab | Ebm7/Ab | DbM7 | Fm7b5 Bb7 |
Eb9 | Ebm7/Ab | DbM7 | Em7 A7 |
Ebm7/Ab | Ebm7/Ab | DbM7 | Fm7b5 Bb7 |
Eb9 | Ebm7/Ab | DbM7 | Cm7b5 F7 |
BbmM7 | Bbm6 | AbmM7 | Abm6 |
BbmM7 | Bbm6 | Abm7 | Db7 |
Abm7 | Db7 | GbM7 Db7#9 | C7#9 |
F7b5b9 | F7b5b9 F7#5 | BbmM7 | BbmM7 |",6,major,108.40000000000005,74,iii iii ii ii iii iii ii V7 ii V7 I V7 (6) VII7 VII7 VII7 iii iii iii iii ii ii iii iii ii V7 ii V7 I V7 (6) VII7 VII7 VII7 iii iii vi vi V viiø III7 VI7 vi V bvii bIII7 vi vi V viiø III7 VI7 vi V (6) VII7 iii iii ii ii iii iii ii V7 ii V7 I V7 (6) VII7 VII7 VII7 iii iii,Gb,4
Mr. Syms,John Coltrane,Eb,4 4,12,"Cm7 Cm7 CM7 C7#5 | BM7/C Bbm6/C | Cm7 Cm7 C DbM7/C | Gm/C DbMb5/C |
Fm7 | Fm7 | Cm7 Cm7 CM7 C7#5 | BM7/C Bbm6/C |
G7 DbM7b5/G | F7#9/G | G7#5b9 G7#5b9 G7 Cm7 | Cm7 BbM7 Cm7 Cm7 |",8,major,39.39999999999999,31,iii iii III III7 bIII ii iii iii III IV vii IV vi vi iii iii III III7 bIII ii VII7 IV VI7 VII7 VII7 VII7 iii iii II iii iii,Ab,0
Our Love Is Here To Stay,George Gershwin,F,4 4,32,"G7 | Gm7 C7 | F Bb7 | Am7 D7 |
G7 | Gm7 C7 | A7 D7 | G7 G#o7 |
Am7 D7 | Gm7 C7 | F | Dm7 A7 |
Dm | G7 | Gm7 | C7 |
G7 | Gm7 C7 | F Bb7 | Am7 D7 |
G7 | Gm7 C7 | A7 D7 | G7 G#o7 |
Am7 D7 | Gm7 C7 | Cm7 F7 | Bb6 Bo7 |
F/C D7 | Gm7 C7 | F | Am7 D7 |",5,major,66.79999999999998,54,II7 ii V7 I IV7 iii VI7 II7 ii V7 III7 VI7 II7 biii iii VI7 ii V7 I vi III7 vi II7 ii V7 II7 ii V7 I IV7 iii VI7 II7 ii V7 III7 VI7 II7 biii iii VI7 ii V7 v I7 IV (6) I VI7 ii V7 I iii VI7,F,1
I Love Lucy,Eliot Daniel,F,4 4,32,"FM7 | Dm7 | Gm7 | C7 |
FM7 | Dm7 | G13#11 | G13#11 G#o7 |
Am7 | Dm7 | Em7 | A7 |
DM7 | DM7 | Gm9 | C13sus4 C7 |
FM7 | Dm7 | Gm7 | C7 |
FM7 | Dm7 | G13#11 | G13#11 G#o7 |
Am7 | Dm7 | G7 | G7 G#o7 |
Gm7 | C7 | F6 Dm7 | Gm7 C7 |",5,major,54.599999999999994,38,I vi ii V7 I vi II7 II7 biii iii vi vii III7 VI VI ii V7 V7 I vi ii V7 I vi II7 II7 biii iii vi II7 II7 biii ii V7 I vi ii V7,F,0
Let's Get Lost,Jimmy McHugh and Frank Loesser,C,4 4,32,"CM7 | F#m7b5 | CM7 | F#m7b5 B7 |
Em7b5 | A7 | Em7b5 | A7 |
Dm7 | G7 | CM7 | F#m7b5 B7 |
Em7 | A7 | D7 | Dm7 G7 |
CM7 | F#m7b5 | CM7 | F#m7b5 B7 |
Em7b5 | A7 | Em7b5 | A7 |
Dm7 | G7 | CM7 F7 | E7 Am7 |
Dm7 | G7 | C6 | Dm7 G7 |",0,major,43.99999999999999,39,I (6) I (6) VII7 iiiø VI7 iiiø VI7 ii V7 I (6) VII7 iii VI7 II7 ii V7 I (6) I (6) VII7 iiiø VI7 iiiø VI7 ii V7 I IV7 III7 vi ii V7 I ii V7,C,5
Naima,John Coltrane,Ab,4 4,24,"Eb13sus4 | Ebm9 | AM7/Eb GM7#5/Eb | AbM7 |
Eb13sus4 | Ebm9 | AM7/Eb GM7#5/Eb | AbM7 |
BM7/Bb | Bb13b9 | BM7/Bb | Bb13b9 |
DM7#5/Bb | BM7/Bb | Bb13sus4 | EM7b5/Bb |
Eb13sus4 | Ebm9 | AM7/Eb GM7#5/Eb | AbM7 DbM7 |
AbM7 DbM7 | AbM7 DbM7 | AbM7 | AbM7 |",8,major,29.6,30,V7 v bII VII I V7 v bII VII I bIII II7 bIII II7 (6) bIII II7 bVI V7 v bII VII I IV I IV I IV I I,Ab,1
If I Only Had A Brain,Harold Arlen,F,4 4,32,"F6 | Gm7 | Gm7 FM7 | Gm7 F6 |
Gm7 | C7 Gm7 Ebm6 C7 | F Bb F F | G7+ G7+ G7+ C7 |
F6 | Gm7 | Gm7 FM7 | Gm7 F6 |
Gm7 | C7 Gm7 Ebm6 C7 | F Bb F F | F6 F6 Cm7 F7 |
Bb Do7 | Am7 Am7 Am7 D7 | Gm Gm Cm7 C7 | FM7 F6 |
Gm6 A7 | Dm | G9 | G9 Co7 C7 C7 |
F6 | Gm7 | Gm7 FM7 | Gm F6 |
Gm7 | C7 Gm7 Ebm6 C7 | F Bb F F | Gm7 Bbm6 C7 C7 |",5,major,127.20000000000005,77,I ii ii I ii I ii V7 ii bvii V7 I IV I I II7 II7 II7 V7 I ii ii I ii I ii V7 ii bvii V7 I IV I I I I v I7 IV vio iii iii iii VI7 ii ii v V7 I I ii III7 vi II7 II7 vo V7 V7 I ii ii I ii I ii V7 ii bvii V7 I IV I I ii iv V7 V7,F,0
