title,composedby,key,timesig,bars,chordprog,key_tonic_pc,key_mode,key_score,num_tokens,funcional_prog,key_estimada,rare_chords
One For Daddy-O,Nat Adderly,Db,4 4,12,"Bbm | Cm7b5 F7+ | Bbm | Bb7 |
Ebm7 | Ebm7 Eo7 | Bbm F7 | Bbm |
Cm7b5 | F7 | Bbm | Bbm |",10,minor,26.4,15,i iiø V7 i I7 iv iv (6) i V7 i iiø V7 i i,Bbm,1
I Understand,Mabel Wayne,Ab,4 4,32,"Bb9 | Eb7 Eb7 Bbm7 Eb7 | AbM7 | Ab Ab Ab Ao7 |
Eb9 | Eb9 Eb9 Eb6 G | Ab Ao7 | Eb7 Fm C7 Gbo7 |
Bb9 | Eb7 Eb7 Bbm7 Eb7 | AbM7 | Ab Ab Ab Ao7 |
Eb9 | Eb9 Eb9 Gm Eb7 | Ab9 Abo7 | Ab9 Ab Dbo7 Ab7 |
Db | C7 C7 C7+ C7 | F7b9 F7 | Bbm |
Bbm Dbm6 Eb7 Eb7 | Ab F7+ | Bb7 Bbm7 | Eb7 Fm C7 Gbo7 |
Bb9 | Eb7 Eb7 Bbm7 Eb7 | AbM7 | Ab |
Ebm6 Ebm6 F7 F7+ | Bbm7 Bbm7 Bbm7 Eb7 | Ab Ab Gb G | Ab Fm C7 Gbo7 |",8,major,111.80000000000004,85,II7 V7 V7 ii V7 I I I I bii V7 V7 V7 V VII I bii V7 vi III7 bvii II7 V7 V7 ii V7 I I I I bii V7 V7 V7 vii V7 I7 io I7 I ivo I7 IV III7 III7 III7 III7 VI7 VI7 ii ii iv V7 V7 I VI7 II7 ii V7 vi III7 bvii II7 V7 V7 ii V7 I I v v VI7 VI7 ii ii ii V7 I I bVII VII I vi III7 bvii,Ab,0
Our Language of Love,"Monnot, Breffort, More, Heneker, Norman",Eb,4 4,32,"EbM7 | Eb6 | EbM7 | Eb6 |
F7 | Abm6 Bb7 | Eb6 | Fm7/Bb |
EbM7 | Eb6 | EbM7 | Eb6 |
F7 | Abm6 Bb7 | Eb6 | Bbm7 Eb7 |
AbM7 | Ab6 | AbM7 | Ab6 |
Gm7 | C7 | Fm7 | Bb7 |
EbM7 | Eb6 | EbM7 | Eb6 |
F7 | Abm6 Bb7 | Eb6 | Fm7/Bb |",3,major,57.59999999999999,36,I I I I II7 iv V7 I ii I I I I II7 iv V7 I v I7 IV IV IV IV iii VI7 ii V7 I I I I II7 iv V7 I ii,Eb,0
"Just You, Just Me",Jesse Greer,C,4 4,32,"CM7 | Em7b5 A7 | Dm7 | G7 |
CM7 C7 | FM7 Bb7#11 | Dm7 G7 | CM7 G7alt |
CM7 | Em7b5 A7 | Dm7 | G7 |
CM7 C7 | FM7 Fm7 | Dm7 G7 | CM7 |
Gm7 | C7 | FM7 | Bb7 |
CM7 | E7 Am7 | D7 | Dm7 G7 |
CM7 | Em7b5 A7 | Dm7 | G7 |
CM7 C7 | FM7 Fm7 | Dm7 G7 | CM7 |",0,major,68.09999999999998,47,I iiiø VI7 ii V7 I I7 IV bVII7 ii V7 I V7 I iiiø VI7 ii V7 I I7 IV iv ii V7 I v I7 IV bVII7 I III7 vi II7 ii V7 I iiiø VI7 ii V7 I I7 IV iv ii V7 I,C,0
I Love You,Cole Porter,F,4 4,32,"Gm7b5 | C7b9 C7 | Fo7 F | F |
Gm7 | C7 | F | D7 |
Gm7b5 | C7b9 C7 | Fo7 F | F |
C#m7 A | E7 | A9 | A |
Gm7 | C7 | FM7 | FM7 FM7 F F6 |
Am7b5 | D7b9 D7b9 Cm D7 | G7 | G7 C7 |
Gm7b5 | C7b9 C7 | Fo7 F | D7 D7 D7+ D7 |
G7b5 G7 | Gm7 C13 | F Fo7 | C7sus4 C7 |",5,major,63.99999999999997,53,iiø V7 V7 io I I ii V7 I VI7 iiø V7 V7 io I I bvi III VII7 III7 III ii V7 I I I I I iiiø VI7 VI7 v VI7 II7 II7 V7 iiø V7 V7 io I VI7 VI7 VI7 VI7 II7 II7 ii V7 I io V7 V7,F,0
I Wanna Be Loved,"John Green, Billy Rose, Edward Heyman",C,4 4,32,"CM7 | F7#11 | CM7 Am7 | Ebm7 Ab7 |
G7 Ab7 G7 Ab7b9 | Dm7 G7sus4 | C6 Am7 | Dm7 G7 G7#5 G7#5 |
CM7 | F7#11 | CM7 Am7 | Ebm7 Ab7 |
G7 Ab7 G7 Ab7b9 | Dm7 G7sus4 | C6 Bb9 | C6 C6 Gm7 C7 |
FM7 | FM7 FM7 Dm7 Dm7/C | Bm7 E7 | Bm7 Bb7#11 |
Am7 | Am7 D7 | Dm7 Ab7#11 | G7 G7#5 |
CM7 | F7#11 | CM7 Am7 | Ebm7 Ab7 |
G7 Ab7 G7 Ab7b9 | Dm7 G7sus4 | C6 Am7 | Dm7 G7#5 G7#5 |",0,major,98.39999999999998,69,I IV7 I vi biii bVI7 V7 bVI7 V7 bVI7 ii V7 I vi ii V7 V7 V7 I IV7 I vi biii bVI7 V7 bVI7 V7 bVI7 ii V7 I bVII7 I I v I7 IV IV IV ii ii vii III7 vii bVII7 vi vi II7 ii bVI7 V7 V7 I IV7 I vi biii bVI7 V7 bVI7 V7 bVI7 ii V7 I vi ii V7 V7,C,0
Handful Of Stars,J. Lawrence and T. Shapiro,C,4 4,32,"CM7 C#o7 | Dm7 Ebo7 | C6/E C6/E Gm7 F#9#11 | F6 Bb9#11 |
CM7 B7 | Em7b5 A7b9 | D9#11 G9+ | C6 A7 Dm7 G7 |
CM7 C#o7 | Dm7 Ebo7 | C6/E C6/E Gm7 F#9#11 | F6 Bb9#11 |
CM7 B7 | Em7b5 A7b9 | D9#11 G9+ | C6 |
Em7 | F#m7b5 B7 | Em7 | A7 D7 |
GM7 G#o7 | Am7 B7b9 | Em7 A7 | Dm7 G7 |
CM7 C#o7 | Dm7 Ebo7 | C6/E C6/E Gm7 F#9#11 | F6 Bb9#11 |
CM7 B7 | Em7b5 A7b9 | D9#11 G9+ | C6 C6 Dm7 G7 |",0,major,80.60000000000001,71,I bii ii biii I I v (6) IV bVII7 I VII7 iiiø VI7 II7 V7 I VI7 ii V7 I bii ii biii I I v (6) IV bVII7 I VII7 iiiø VI7 II7 V7 I iii (6) VII7 iii VI7 II7 V bvi vi VII7 iii VI7 ii V7 I bii ii biii I I v (6) IV bVII7 I VII7 iiiø VI7 II7 V7 I I ii V7,C,4
More Today Than Yesterday,Pat Upton,F,4 4,48,"FM7 | FM7 | Gm7/C | Gm7/C |
FM7 | FM7 | Gm7/C | Gm7/C |
FM7 | FM7 | Gm7/C | Gm7/C |
Am7 | Bb7 | Gm7/C | Gm7/C |
FM7 | FM7 | Gm7/C | Gm7/C |
FM7 | FM7 | Gm7/C | Gm7/C |
FM7 | FM7 | Gm7/C | Gm7/C |
Am7 | Bb7 | Gm7 | C7 B7 |
BbM7 | BbM7 | Em7/A | A7 |
BbM7 | BbM7 | Em7/A | A7 |
BbM7 | BbM7 | Em7/A | A7 |
Dm7 | G7 | Gm7/C | Gm7/C |",5,major,83.70000000000002,49,I I ii ii I I ii ii I I ii ii iii IV7 ii ii I I ii ii I I ii ii I I ii ii iii IV7 ii V7 (6) IV IV vii III7 IV IV vii III7 IV IV vii III7 vi II7 ii ii,F,1
Isn't It Romantic?,Richard Rodgers,Eb,4 4,32,"EbM7 Cm7 | Fm7 Bb7 | EbM7 Eo7 | Fm7 Bb7 |
EbM7 C7 | Fm7 Bb7 | EbM7 | Bbm7 Eb7 |
AbM7 | Bb7 G7 | Cm7 G7b9 | Bbm7 Eb7 |
AbM7 C7 | Fm7 Fm7 Dm7b5 G7b9 | Cm7 F7 | Bb7alt Bb7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 Eo7 | Fm7 Bb7 |
EbM7 C7 | Fm7 Bb7 | EbM7 | Bbm7 Eb7 |
AbM7 | Dm7b5 G7b9 | Cm7 Cm7/Bb | Am7b5 Abm6 |
Gm7 Gb7 | Fm7 Bb7 | EbM7 | Fm7 Bb7 |",3,major,90.3,61,I vi ii V7 I bii ii V7 I VI7 ii V7 I v I7 IV V7 III7 vi III7 v I7 IV VI7 ii ii viiø III7 vi II7 V7 V7 I vi ii V7 I bii ii V7 I VI7 ii V7 I v I7 IV viiø III7 vi vi (6) iv iii bIII7 ii V7 I ii V7,Eb,1
More,"Nino Oliviero, Riz Ortolani, Marcello Ciorciolini, Norman Newell",G,4 4,40,"GM7 | Em7 | Am7 | D7 |
GM7 | Em7 | Am7 | D7 |
GM7 | Em7 | Am7 | D7 |
GM7 | Em7 | Am7 | F#m7 B7b9 |
Em7 | Em7/D# | Em7/D | C#m7b5 |
CM7 | A7 | Am7 | D7 |
GM7 | Em7 | Am7 | D7 |
GM7 | Em7 | Am7 | F#m7 B7b9 |
Em7 | Em7/D# | Em7/D | C#m7b5 |
CM7 | Am7 D7 | GM7 | Am7 D7 |",7,major,77.19999999999999,44,I vi ii V7 I vi ii V7 I vi ii V7 I vi ii vii III7 vi vi vi (6) IV II7 ii V7 I vi ii V7 I vi ii vii III7 vi vi vi (6) IV ii V7 I ii V7,G,2
Let's Call This,Thelonious Monk,G,4 4,32,"D9sus4 | D9sus4 | D9sus4 | D9sus4 |
D9sus4 | D9sus4 F#7 | F7 E7 | Eb7 D7 |
D9sus4 | D9sus4 | D9sus4 | D9sus4 |
D9sus4 | D9sus4 F#7 | F7 E7 | Eb7 D7 |
G7 | G7 | C7 | C7 |
A7 | A7 | Bm Bb7 | Am7 Ab7 |
D9sus4 | D9sus4 | D9sus4 | D9sus4 |
D9sus4 | D9sus4 F#7 | F7 E7 | G |",7,major,52.899999999999984,42,V7 V7 V7 V7 V7 V7 VII7 bVII7 VI7 bVI7 V7 V7 V7 V7 V7 V7 V7 VII7 bVII7 VI7 bVI7 V7 I7 I7 IV7 IV7 II7 II7 iii bIII7 ii bII7 V7 V7 V7 V7 V7 V7 VII7 bVII7 VI7 I,G,0
If I Should Lose You,Leo Robin and Ralph Rainger,Bb,4 4,32,"F#o7/G Gm7 | Am7b5 D7alt | F#o7/G Gm7 | Fm7 Bb7 |
Bb7+/Eb EbM7 | Fm7 Bb7 | Bb7+/Eb EbM7 | Cm7 |
F7sus4 F7 | Cm7 F7 | Bbo7 BbM7 | Am7b5 D7 |
F#o7/G Gm7 | C7 | Cm7 Cm7/Bb | Am7b5 Ab7#11 |
F#o7/G Gm7 | Am7b5 D7alt | F#o7/G Gm7 | Fm7 Bb7 |
Bb7+/Eb EbM7 | Fm7 Bb7 | Bb7+/Eb EbM7 | Cm7 |
Cm7 | F7 | Bbo7 BbM7 | D7b9 Gm7 |
F7sus4 | F7 | BbM7 | Am7 D7alt |",7,minor,73.49999999999999,56,viio i iiø V7 viio i bvii III7 III7 VI bvii III7 III7 VI iv bVII7 bVII7 iv bVII7 iiio III iiø V7 viio i IV7 iv iv iiø bII7 viio i iiø V7 viio i bvii III7 III7 VI bvii III7 III7 VI iv iv bVII7 iiio III V7 i bVII7 bVII7 III ii V7,Gm,0
How Long Has This Been Going On?,George Gershwin,G,4 4,32,"Am7 G#o7 | Am7 D7 | Dm7 G7 | CM7 F7 |
G6/B Bbo7 | Am7 E7b9 | Am7 Am7 Eb7 D7 | Bm7 E7b9 |
Am7 G#o7 | Am7 D7 | Dm7 G7 | CM7 F7 |
G6/B Bbo7 | Am7 E7b9 | Am7 Am7 Eb7 D7 | GM7 GM7 Dm7 G7 |
CM7 F7 | CM7 F7 | CM7 F7 | CM7 CM7 C#m7b5 F#7b9 |
Bm7 F#7 | Bm7 F#7 | Bm7 Bbo7 | Am7 E7b9 |
Am7 G#o7 | Am7 D7 | Dm7 G7 | CM7 F7 |
G6/B Bbo7 | Am7 E7b9 | Am7 Am7 Eb7 D7 | GM7 E7b9 |",7,major,89.5,74,ii bii ii V7 v I7 IV bVII7 I biii ii VI7 ii ii bVI7 V7 iii VI7 ii bii ii V7 v I7 IV bVII7 I biii ii VI7 ii ii bVI7 V7 I I v I7 IV bVII7 IV bVII7 IV bVII7 IV IV (6) VII7 iii VII7 iii VII7 iii biii ii VI7 ii bii ii V7 v I7 IV bVII7 I biii ii VI7 ii ii bVI7 V7 I VI7,G,1
My Reward,Duke Ellington,Db,4 4,32,"Db DbM7 | Cm7b5 Cm7b5 Cm7b5 F7 | Bbm7 Bb6 | Abm7 |
GbM7 B9 | Db C7 F7 Bbm7 | Eb9 | Ebm7 |
Db DbM7 | Cm7b5 Cm7b5 Cm7b5 F7 | Bbm7 Bb6 | Abm7 |
GbM7 B9 | Db C7 F7 Bbm7 | Eb9 Eb9 Ebm7 Ebo7 | Db Db Dbm7 Gb7b5 |
B Abm | Ebm Db9 | Gbm Gbm Gbm Gb7 | F#m7 B7 |
E Bbm7b5 | Ab D7b5 | Bbm7 Eb7 | Ab7 |
Db DbM7 | Cm7b5 Cm7b5 Cm7b5 F7 | Bbm7 Bb6 | Abm7 |
GbM7 B9 | Db C7 F7 Bbm7 | Eb9 Eb9 Ebm7 Ebo7 | Db |",10,minor,93.0,77,III III iiø iiø iiø V7 i I bvii VI bII7 III II7 V7 i IV7 iv III III iiø iiø iiø V7 i I bvii VI bII7 III II7 V7 i IV7 IV7 iv ivo III III iii VI7 bII bvii iv III7 vi vi vi VI7 vi bII7 (6) iø bVII (4) i IV7 bVII7 III III iiø iiø iiø V7 i I bvii VI bII7 III II7 V7 i IV7 IV7 iv ivo III,Bbm,2
Let's Take a Walk Around the Block,Harold Arlen,C,4 4,36,"C F | C G7 | C G7 | Dm7 G7 |
C C+ | Dm Ao7 | C Em | Dm7 G7 C C |
C | Dm7 C+ | C F | C G7 |
C G7 | Dm7 G7 | C C+ | Dm Ao7 |
C Em | Dm7 G7 C C+ | Gm7 | C7 C+ F |
Dm Em7 | Am | D7 | D7 |
Dm7 | Dm7 G+ | C F | C G7 |
C G7 | Dm7 G7 | C C+ | Dm Ao7 |
C Em | Dm7 G7 C C | Am7 Am7 D7 Fm | G7 |",0,major,124.00000000000006,74,I IV I V7 I V7 ii V7 I I7 ii vio I iii ii V7 I I I ii I7 I IV I V7 I V7 ii V7 I I7 ii vio I iii ii V7 I I7 v I7 I7 IV ii iii vi II7 II7 ii ii V7 I IV I V7 I V7 ii V7 I I7 ii vio I iii ii V7 I I vi vi II7 iv V7,C,0
I've Got You Under My Skin,Cole Porter,Eb,4 4,56,"Fm7 | Bb7 | EbM7 | Cm7 |
Fm7 | Bb7 | EbM7 | EbM7 |
Fm7 | Bb7 | EbM7 | Cm7 |
Fm7 | Bb7 | EbM7 | EbM7 |
Fm7 | Bb7 | EbM7 | EbM7 |
Fm7b5 | Fm7b5 Bb7 | EbM7 | Eb6 |
Dm7 | G7 | C | C |
Fm7 | Bb7 | EbM7 | EbM7 |
Fm7 | Bb7 | EbM7 | Eb7 |
Ab | Db7 | EbM7 | Bb7 |
Cm | Fm7 Bb7 | EbM7 | Gbo7 |
Bb7sus | Bb7 | EbM7 | Bbm7 Eb7 |
AbM7 | Db7 | EbM7 | Gm7b5 C7 |
Fm7 | Bb7 | EbM7 | C7alt |",3,major,96.00000000000001,60,ii V7 I vi ii V7 I I ii V7 I vi ii V7 I I ii V7 I I iiø iiø V7 I I vii III7 VI VI ii V7 I I ii V7 I I7 IV bVII7 I V7 vi ii V7 I biii V7 V7 I v I7 IV bVII7 I iiiø VI7 ii V7 I VI7,Eb,0
Light Blue,Thelonious Monk,C,4 4,8,"FM7 FM7 G7 C7 | FM7 FM7 F7 Bb7 | CM7 | D9 G7#11 |
FM7 FM7 F7#11 F#9 | FM7 FM7 F#m7 Fm7 | CM7 | D9 D9 G7#11 DbM7#11 |",0,major,29.399999999999995,24,IV IV V7 I7 IV IV IV7 bVII7 I II7 V7 IV IV IV7 (6) IV IV (6) iv I II7 II7 V7 bII,C,2
A Little Sweet,Max Roach,F,4 4,32,"Gm7 C7 | F7 E7 | Cm7 F7 | Bb |
Bbm7 | EbM7 | AbM7 | Gm7 C7b9 |
Gm7b5 C7#9 | Fm7 Bb7 | Em7 Eb7 | Dm7 G7b9 |
F#m6 B7b5 | E7 Eb7 | Abm7 Db7b9 | F#m7 B7b9 |
Bbm7 Eb7 | Bbm6 D7 | Gm7b5 C7#9 | FM7 |
Gm7b5 C7#9 | Fm7 Bb7 | Em7 Eb7 | Dm7 G7b9 |
F#m6 B7b5 | E7 Eb7 | Abm7 Db7b9 | F#m7 B7b9 |
Bbm7 Eb7 | Bbm6 D7 | Gm7b5 C7#9 | FM7 |",8,major,50.699999999999974,58,vii III7 VI7 bVI7 iii VI7 II ii V I vii III7 viiø III7 vi II7 bvi V7 (6) VII7 bvii bIII7 bVI7 V7 i IV7 bvii bIII7 ii V7 ii (6) viiø III7 VI viiø III7 vi II7 bvi V7 (6) VII7 bvii bIII7 bVI7 V7 i IV7 bvii bIII7 ii V7 ii (6) viiø III7 VI,Ab,4
Ornithology,Charlie Parker,G,4 4,32,"GM7 | GM7 | Gm7 | C7 |
FM7 | FM7 | Fm | Bb7 |
Eb7 | Am7b5 D7alt | Gm7 | D7alt |
Bm7 | E7b9 | Am7 | D7b9 |
GM7 | GM7 | Gm7 | C7 |
FM7 | FM7 | Fm | Bb7 |
Eb7 | Am7b5 D7alt | GM7 | Cm7 F7 |
Bm7 E7alt | Am7 D7 | GM7 E7alt | Am7 D7 |",7,major,39.9,39,I I i IV7 bVII bVII bvii bIII7 bVI7 iiø V7 i V7 iii VI7 ii V7 I I i IV7 bVII bVII bvii bIII7 bVI7 iiø V7 I iv bVII7 iii VI7 ii V7 I VI7 ii V7,G,0
